% Model,cochlear_microphone PVDF piezo.mph
% Version,COMSOL 5.5.0.306
% Date,"Jul 30 2020, 23:20"
% Table,Charge Frequency Response - charge top plane
% freq (Hz),"Electric displacement field, z component (C)",abs(es.Dz) (C)
1782.501876267492,3.734823853346158E-17,3.734823853346158E-17
1824.0216787118195,3.734133444191165E-17,3.734133444191165E-17
1866.5086015939812,3.7334102522305654E-17,3.7334102522305654E-17
1909.9851720428721,3.732652706720405E-17,3.732652706720405E-17
1954.4744419116225,3.731859160124123E-17,3.731859160124123E-17
2000.0000000000002,3.731027889185928E-17,3.731027889185928E-17
2046.5859845615075,3.730157086488069E-17,3.730157086488069E-17
2094.2570961017996,3.729244850117024E-17,3.729244850117024E-17
2143.038610475214,3.728289190147331E-17,3.728289190147331E-17
2192.9563922863704,3.727288020129562E-17,3.727288020129562E-17
2244.0369086039263,3.726239148244967E-17,3.726239148244967E-17
2296.307242993766,3.725140276680071E-17,3.725140276680071E-17
2349.795109879061,3.723988993844464E-17,3.723988993844464E-17
2404.5288692348267,3.7227827654684456E-17,3.7227827654684456E-17
2460.5375416247625,3.721518938848124E-17,3.721518938848124E-17
2517.850823588335,3.720194726046762E-17,3.720194726046762E-17
2576.4991033862702,3.718807199099648E-17,3.718807199099648E-17
2636.513477112815,3.7173532878177164E-17,3.7173532878177164E-17
2697.925765183307,3.7158297643087684E-17,3.7158297643087684E-17
2760.768529205771,3.7142332418912184E-17,3.7142332418912184E-17
2825.075089245511,3.712560165385365E-17,3.712560165385365E-17
2890.8795414918563,3.710806795447068E-17,3.710806795447068E-17
2958.2167763364146,3.708969207734253E-17,3.708969207734253E-17
3027.1224968724146,3.707043278384878E-17,3.707043278384878E-17
3097.6332378249626,3.7050246751409474E-17,3.7050246751409474E-17
3169.7863849222285,3.702908839031207E-17,3.702908839031207E-17
3243.62019471786,3.700690987135527E-17,3.700690987135527E-17
3319.1738148751197,3.698366080798576E-17,3.698366080798576E-17
3396.487304923489,3.695928828714928E-17,3.695928828714928E-17
3475.601657498753,3.693373661394793E-17,3.693373661394793E-17
3556.558820077846,3.6906947226272957E-17,3.6906947226272957E-17
3639.4017172199656,3.687885846207512E-17,3.687885846207512E-17
3724.1742733257356,3.684940546630217E-17,3.684940546630217E-17
3810.921435926497,3.681851996363506E-17,3.681851996363506E-17
3899.6891995160913,3.6786130009891634E-17,3.6786130009891634E-17
3990.524629937758,3.67521598877966E-17,3.67521598877966E-17
4083.47588933906,3.6716529805285467E-17,3.6716529805285467E-17
4178.592261708082,3.667915565938171E-17,3.667915565938171E-17
4275.924179004465,3.6639948790552614E-17,3.6639948790552614E-17
4375.523247899105,3.6598815749131685E-17,3.6598815749131685E-17
4477.442277136681,3.6555657925166293E-17,3.6555657925166293E-17
4581.73530553555,3.651037128636379E-17,3.651037128636379E-17
4688.457630639846,3.646284600448274E-17,3.646284600448274E-17
4797.665838038981,3.641296611009683E-17,3.641296611009683E-17
4909.417831370063,3.636060913607849E-17,3.636060913607849E-17
5023.772863019165,3.6305645593159244E-17,3.6305645593159244E-17
5140.79156553773,3.62479386398348E-17,3.62479386398348E-17
5260.535983790764,3.618734351748088E-17,3.618734351748088E-17
5383.0696078538285,3.6123707051676653E-17,3.6123707051676653E-17
5508.4574066763325,3.6056867084437595E-17,3.6056867084437595E-17
5636.7658625289105,3.598665185591649E-17,3.598665185591649E-17
5768.063006253212,3.591287930734578E-17,3.591287930734578E-17
5902.418453332769,3.583535639839074E-17,3.583535639839074E-17
6039.903440804033,3.5753878383774905E-17,3.5753878383774905E-17
6180.590865027185,3.566822781173163E-17,3.566822781173163E-17
6324.55532033676,3.55781737900291E-17,3.55781737900291E-17
6471.873138592563,3.5483470784295567E-17,3.5483470784295567E-17
6622.622429651823,3.5383857659486404E-17,3.5383857659486404E-17
6776.883122784056,3.5279056491580265E-17,3.5279056491580265E-17
6934.737009050635,3.5168771172040605E-17,3.5168771172040605E-17
7096.267784671507,3.505268601435869E-17,3.505268601435869E-17
7261.5610954020285,3.493046424752684E-17,3.493046424752684E-17
7430.704581943457,3.480174616874097E-17,3.480174616874097E-17
7603.787926411226,3.466614739299344E-17,3.466614739299344E-17
7780.90289988561,3.452325663733036E-17,3.452325663733036E-17
