Freq	Mag Phase
2.97198857827389e+002	7.01609945205030e+001  1.63777863599486e+002
3.02144377408418e+002	7.01251270754299e+001  1.62891581491047e+002
3.07172192608297e+002	7.00872734471562e+001  1.62008158061347e+002
3.12283672862284e+002	7.00474468947327e+001  1.61127751990740e+002
3.17480210393639e+002	7.00056613172926e+001  1.60250519223617e+002
3.22763220592834e+002	6.99619312401875e+001  1.59376612841569e+002
3.28134142403055e+002	6.99162718003619e+001  1.58506182939484e+002
3.33594438712137e+002	6.98686987309737e+001  1.57639376504855e+002
3.39145596751013e+002	6.98192283452742e+001  1.56776337300564e+002
3.44789128498790e+002	6.97678775197619e+001  1.55917205751433e+002
3.50526571094573e+002	6.97146636766308e+001  1.55062118834823e+002
3.56359487256135e+002	6.96596047655347e+001  1.54211209975549e+002
3.62289465705562e+002	6.96027192446941e+001  1.53364608945388e+002
3.68318121601972e+002	6.95440260613761e+001  1.52522441767439e+002
3.74447096981441e+002	6.94835446317795e+001  1.51684830625596e+002
3.80678061204247e+002	6.94212948203628e+001  1.50851893779365e+002
3.87012711409556e+002	6.93572969186532e+001  1.50023745484250e+002
3.93452772977675e+002	6.92915716235814e+001  1.49200495917932e+002
3.99999999999999e+002	6.92241400153853e+001  1.48382251112409e+002
4.06656175756773e+002	6.91550235351313e+001  1.47569112892281e+002
4.13423113202810e+002	6.90842439619033e+001  1.46761178819327e+002
4.20302655461287e+002	6.90118233897103e+001  1.45958542143489e+002
4.27296676325760e+002	6.89377842041668e+001  1.45161291760373e+002
4.34407080770534e+002	6.88621490589990e+001  1.44369512175333e+002
4.41635805469524e+002	6.87849408524331e+001  1.43583283474203e+002
4.48984819323748e+002	6.87061827035207e+001  1.42802681300674e+002
4.56456123997604e+002	6.86258979284574e+001  1.42027776840340e+002
4.64051754464064e+002	6.85441100169498e+001  1.41258636811371e+002
4.71773779558945e+002	6.84608426086854e+001  1.40495323461755e+002
4.79624302544400e+002	6.83761194699610e+001  1.39737894573043e+002
4.87605461681789e+002	6.82899644705204e+001  1.38986403470477e+002
4.95719430814082e+002	6.82024015606537e+001  1.38240899039396e+002
5.03968419957948e+002	6.81134547486086e+001  1.37501425747746e+002
5.12354675905708e+002	6.80231480783589e+001  1.36768023674542e+002
5.20880482837291e+002	6.79315056077780e+001  1.36040728544094e+002
5.29548162942387e+002	6.78385513872585e+001  1.35319571765776e+002
5.38360077052941e+002	6.77443094388184e+001  1.34604580479132e+002
5.47318625286178e+002	6.76488037357318e+001  1.33895777604064e+002
5.56426247698330e+002	6.75520581827182e+001  1.33193181895871e+002
